lab ID,Age,Error,Depth,cc
unknown,420,60,5.5,1
CAMS-9193,1470,60,17.5,1
41229-12115,1500,60,17.5,1
CAMS-8728,2280,60,27.5,1
41229-12118,2330,60,27.5,1
CAMS-8738,2860,60,42.5,1
41229-12083,3190,70,51,1
CAMS-8736,3250,60,52.5,1
41229-12117,4000,60,62.5,1
CAMS-16024,4550,80,72.5,1
41229-12099,5400,70,77,1
CAMS-16022,4670,60,82.5,1
41229-12162,5320,60,92.5,1
CAMS-16029,6110,60,102.5,1
41229-12164,7700,80,107.5,1
41229-12166,8630,60,122.5,1
CAMS-16162,8730,60,132.5,1
CAMS-8724,10340,70,147.5,1
41229-12080,10310,70,147.5,1
CAMS-33971,11290,60,157.5,1
41229-12075,11310,60,157.5,1
41229-12173,11410,70,167.5,1
CAMS-16018,11460,60,177.5,1
41229-N.D.,11550,70,187.5,1
CAMS-16016,12110,90,197.5,1
41229-12176,12110,90,197.5,1
41229-12177,14400,80,212.5,1
CAMS-9196,12540,80,222.5,1
41229-12073,12570,80,222.5,1
CAMS-7197,12680,100,232.5,1
41229-12076,14700,90,237.5,1
41229-12137,15290,90,260,1
41229-12179,13940,100,272.5,1
41229-12180,16240,100,297.5,1
41229-12181,16620,110,302.5,1
41229-12183,16510,100,317.5,1
41229-12131,16610,110,340.5,1
41229-12184,16770,100,347.5,1