Avg_depth,Level_min,Hum_DW,Hum_L,Fem_L,Level_max,Age,NISP,Sqrt.NISP,Prescence
82.5,80,NA,NA,NA,85,5520.846417,1,1,TRUE
92.5,90,NA,NA,NA,95,6098.854199,2,1.414213562,TRUE
97.5,95,NA,NA,NA,100,6410.877392,1,1,TRUE
102.5,100,106.8072128,123.5244196,NA,105,7051.327619,6,2.449489743,TRUE
107.5,105,124.6976628,NA,NA,110,8320.943751,2,1.414213562,TRUE
112.5,110,NA,NA,NA,115,9214.971413,3,1.732050808,TRUE
117.5,115,111.5878604,136.3393072,NA,120,9425.062061,9,3,TRUE
122.5,120,NA,NA,NA,125,9605.012927,14,3.741657387,TRUE
127.5,125,NA,NA,NA,130,9771.428162,20,4.472135955,TRUE
132.5,130,102.8549344,NA,117.0829458,135,9996.664885,28,5.291502622,TRUE
137.5,135,118.9380288,139.9920665,NA,140,10430.93738,18,4.242640687,TRUE
142.5,140,117.9231869,130.7599468,143.5530692,145,11124.69661,26,5.099019514,TRUE
147.5,145,NA,NA,91.24270345,150,12097.48778,24,4.898979486,TRUE
152.5,150,114.3774471,NA,143.9447094,155,12878.19275,23,4.795831523,TRUE
153.5,152,NA,NA,NA,155,12878.19275,19,4.358898944,TRUE
157.5,155,101.8790112,101.3690018,120.0625959,160,13144.1306,55,7.416198487,TRUE
162.5,160,107.4269309,113.5445243,125.0115068,165,13221.98003,183,13.52774926,TRUE
167.5,165,102.5411295,108.8490313,112.7104805,170,13279.54265,55,7.416198487,TRUE
172.5,170,99.55468148,103.4208729,114.2368384,175,13337.06164,28,5.291502622,TRUE
177.5,175,109.2049035,120.5124272,93.90664929,180,13396.57431,40,6.32455532,TRUE
182.5,180,110.3215554,125.2878099,117.5334991,185,13469.10534,60,7.745966692,TRUE
187.5,185,108.3775159,118.7667205,115.4298433,190,13569.16758,27,5.196152423,TRUE
192.5,190,105.0749107,NA,120.2520143,195,13734.38226,26,5.099019514,TRUE
197.5,195,119.5144729,125.713421,NA,200,13947.55511,25,5,TRUE
202.5,200,109.6002929,103.2160494,118.4886861,205,14158.01258,39,6.244997998,TRUE
207.5,205,110.3026071,118.2634858,NA,210,14366.04004,36,6,TRUE
212.5,210,110.9754847,93.89946852,115.1122161,215,14560.1953,55,7.416198487,TRUE
217.5,215,118.0631162,133.3509113,116.6203814,220,14730.33764,35,5.916079783,TRUE
222.5,220,118.6678928,132.4982739,125.5965184,225,14921.60707,34,5.830951895,TRUE
227.5,225,119.591459,127.1241198,131.027355,230,15151.47076,27,5.196152423,TRUE
232.5,230,116.4207045,121.1118073,117.8789165,235,15486.11436,40,6.32455532,TRUE
237.5,235,126.6853779,149.7206493,136.2228754,240,15998.77883,20,4.472135955,TRUE
242.5,240,116.6075244,140.5586596,NA,245,16466.03325,35,5.916079783,TRUE
247.5,245,NA,NA,NA,250,16793.04403,23,4.795831523,TRUE
252.5,250,119.6345262,133.8063809,117.2292541,255,17118.13577,18,4.242640687,TRUE
257.5,255,NA,NA,120.9546644,260,17458.82866,14,3.741657387,TRUE
262.5,260,127.1502291,137.4439963,102.6162843,265,17701.26036,17,4.123105626,TRUE
267.5,265,110.1434527,117.3904246,109.8790435,270,17844.40295,19,4.358898944,TRUE
272.5,270,116.6011078,NA,NA,275,18014.89066,19,4.358898944,TRUE
277.5,275,115.0286715,NA,121.311406,280,18249.29989,15,3.872983346,TRUE
282.5,280,NA,NA,NA,285,18544.05159,15,3.872983346,TRUE
287.5,285,NA,NA,NA,290,18874.94405,11,3.31662479,TRUE
292.5,290,NA,NA,122.7260731,295,19210.31012,5,2.236067977,TRUE
297.5,295,108.8300885,130.7148283,NA,300,19478.18599,13,3.605551275,TRUE
302.5,300,118.0418784,138.0585442,NA,305,19639.15426,14,3.741657387,TRUE
307.5,305,94.09105387,NA,NA,310,19735.38909,19,4.358898944,TRUE
312.5,310,NA,NA,NA,315,19817.55458,8,2.828427125,TRUE
317.5,315,110.886396,105.3454416,NA,320,19901.81782,14,3.741657387,TRUE
322.5,320,NA,NA,NA,325,19985.09511,2,1.414213562,TRUE
327.5,325,NA,NA,NA,330,20065.36024,12,3.464101615,TRUE
332.5,330,NA,NA,NA,335,20145.65341,1,1,TRUE
337.5,335,106.3852233,120.7222812,NA,340,20226.14513,5,2.236067977,TRUE
347.5,345,114.7105854,NA,135.3076767,350,20452.14511,31,5.567764363,TRUE